,games_played,player_id,season,min,fgm,fga,fg3m,fg3a,ftm,fta,oreb,dreb,reb,ast,stl,blk,turnover,pf,pts,fg_pct,fg3_pct,ft_pct,4_years,first_name,last_name,position,height_feet,height_inches,weight_pounds,team_id,team_abbreviation,team_city,team_conference,team_division,team_full_name,team_name
0,31,1,2018,18:58,1.81,5.06,1.32,4.1,0.39,0.42,0.16,1.39,1.55,0.65,0.55,0.19,0.45,1.71,5.32,0.357,0.323,0.923,0,Alex,Abrines,G,6.0,6.0,200.0,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1,3,14,2018,2:03,0.0,1.0,0.0,0.0,0.0,0.0,0.33,0.67,1.0,0.33,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.0,0,Ike,Anigbogu,C,,,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
2,15,25,2018,10:07,0.27,1.33,0.07,0.87,0.33,0.4,0.07,0.67,0.73,1.0,0.4,0.07,0.33,1.2,0.93,0.2,0.077,0.833,0,Ron,Baker,G,,,,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
3,29,67,2018,13:20,2.62,5.83,0.52,1.86,0.79,1.14,0.41,1.14,1.55,0.86,0.31,0.14,0.72,1.14,6.55,0.45,0.278,0.697,0,MarShon,Brooks,G,,,,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
4,26,71,2018,8:08,0.88,2.73,0.23,1.08,0.12,0.12,0.19,1.0,1.19,1.08,0.46,0.19,0.62,0.85,2.12,0.324,0.214,1.0,0,Lorenzo,Brown,G,,,,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
5,36,90,2018,14:27,2.39,4.47,0.42,1.19,1.08,1.61,0.47,2.72,3.19,0.72,0.56,0.25,0.64,0.97,6.28,0.534,0.349,0.672,0,Omri,Casspi,F,,,,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
6,1,119,2018,0:55,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Tyler,Davis,C,,,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
7,47,179,2018,15:58,2.11,3.96,0.0,0.0,0.74,1.02,1.43,4.13,5.55,1.38,0.13,0.51,1.06,1.96,4.96,0.532,0.0,0.729,0,Marcin,Gortat,C,,,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
8,51,241,2018,10:21,1.55,3.08,0.24,0.78,0.61,0.8,0.92,1.96,2.88,1.18,0.31,0.25,0.88,1.94,3.94,0.503,0.3,0.756,0,Amir,Johnson,C-F,6.0,9.0,240.0,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
9,42,263,2018,11:54,1.74,3.64,0.0,0.0,0.24,0.57,1.24,2.98,4.21,0.86,0.36,0.43,0.64,1.62,3.71,0.477,0.0,0.417,0,Kosta,Koufos,C,7.0,0.0,245.0,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
