Name,Address,Latitude,Longitude,Location Type,Avg Review,Closure Status,Price Level,Review Date,Ratings,Comment,Covid Safety Mentions,Crowdedness Mentions,Outdoor Seating Mentions,Seating Mentions,Staff Mentions,Curbside Pickup,Delivery,Dine In,Drive Through,In Store Pickup,In Store Shopping,No Contact Delivery,On Site Services,Online Appointments,Online Classes,Takeaway
1 Phone Repair South Beach,"2401 Collins Ave Ste C2, Miami Beach, FL 33140, United States",25.8001536,-80.1264146,Mobile Phone Shop,5,,,a month ago, 5 stars ,"From the moment you walk into the well lit, spacious well stocked with cellphone items & electronics store, you get a sense of professionalism!
Then the owner welcomes you to come in like a best friend! Even through masks you can see his …",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,TRUE,,,,,,
1 Phone Repair South Beach,"2401 Collins Ave Ste C2, Miami Beach, FL 33140, United States",25.8001536,-80.1264146,Mobile Phone Shop,5,,,8 months ago, 5 stars ,"I came for help to find my mistake because during covid-19 I replaced my screen by my own. The guy found it in 5 min, changed it and did it for free!!!
Amazing service! Very cozy and friendly atmosphere! Highly recommend!!! Thank you so much",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,TRUE,,,,,,
710 Liquors,"710 Washington Ave #6, Miami Beach, FL 33139, United States",25.7776175,-80.133659,Off Licence,4.3,,,5 months ago, 5 stars ,Super nice lady behind counter who was actually wearing a mask. Good selection at reasonable prices.,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
7ty One Restaurant & Coffee,"1130 Normandy Dr, Miami Beach, FL 33141, United States",25.855501,-80.130285,Venezuelan restaurant,4.6,,,7 months ago, 5 stars ,"It's a block away from my house if it wasn't because of Covid19 I would have never discovered this place because now I'm working from home and I'm able to explore my neighborhood. The service is amazing and the food is out of this world, …",TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,,,,TRUE,,,,
7ty One Restaurant & Coffee,"1130 Normandy Dr, Miami Beach, FL 33141, United States",25.855501,-80.130285,Venezuelan restaurant,4.6,,,5 months ago, 4 stars ,"Good. Burger wasn't the best, ambiance in the time of corona was good, staff was awesome. Food.... Have to try a different dish. limo saltado is next. Recommend for a quick bite.",TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,TRUE,,,,TRUE,,,,
7-Eleven,"11885 Biscayne Blvd, North Miami, FL 33181, United States",25.8856016,-80.1642698,Convenience Store,3.3,,,7 months ago, 1 star ,"Tell your staff to WEAR THEIR MASKS, AND STOP TOUCHING THEIR FACES! Walked out without purchasing anything. Couldn't stand it.",TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE,,,,TRUE,,,,,
7-Eleven,"6348 Collins Ave, Miami Beach, FL 33141, United States",25.8455248,-80.1204383,Convenience Store,2.9,,,2 months ago, 1 star ,"Poor customer service. One employee who wear a mask with the American flag is specially rude asking for the amount of money expended in the pump in order to provide the receipt. The pumps in this gas station don't provide receipt, so the chances to interact with this rude guy is very high.  Poor person!",TRUE,FALSE,FALSE,FALSE,TRUE,,TRUE,,,,TRUE,,,,,
7-Eleven,"890 Washington Ave, Miami Beach, FL 33139, United States",25.7793331,-80.1333284,Convenience Store,2.4,,,3 months ago, 1 star ,This 7-Eleven is not 24hrs. They need to update their store hours and guidelines.,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,,,TRUE,,,,,
Allison Park,"6500 Collins Ave, Miami Beach, FL 33141, United States",25.847549,-80.1196029,Park and Garden,4.6,,,2 months ago, 5 stars ,"I love the beach, very clean not too wavy,perfect temperature during this season, not too cold. Some people wear mask some doesn't while they are walking. I",TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
Allison Park,"6500 Collins Ave, Miami Beach, FL 33141, United States",25.847549,-80.1196029,Park and Garden,4.6,,,5 months ago, 5 stars ,A welcomed break from COVID isolation. Social Distancing of course...,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,
