id;bedrooms;sqft_living;sqft_lot;floors;sqft_above;sqft_basement;price
7129300520;3;1180;5650;1;1180;0;221900
6414100192;3;2570;7242;2;2170;400;538000
5631500400;2;770;10000;1;770;0;180000
2487200875;4;1960;5000;1;1050;910;604000
1954400510;3;1680;8080;1;1680;0;510000
7237550310;4;5420;101930;1;3890;1530;1.23E+06
1321400060;3;1715;6819;2;1715;0;257500
2008000270;3;1060;9711;1;1060;0;291850
2414600126;3;1780;7470;1;1050;730;229500
3793500160;3;1890;6560;2;1890;0;323000
1736800520;3;3560;9796;1;1860;1700;662500
9212900260;2;1160;6000;1;860;300;468000
114101516;3;1430;19901;1;1430;0;310000
6054650070;3;1370;9680;1;1370;0;400000
1175000570;5;1810;4850;1;1810;0;530000
9297300055;4;2950;5000;2;1980;970;650000
1875500060;3;1890;14040;2;1890;0;395000
6865200140;4;1600;4300;1;1600;0;485000
16000397;2;1200;9850;1;1200;0;189000
7983200060;3;1250;9774;1;1250;0;230000
6300500875;4;1620;4980;1;860;760;385000
2524049179;3;3050;44867;1;2330;720;2.00E+06
7137970340;5;2270;6300;2;2270;0;285000
8091400200;2;1070;9643;1;1070;0;252700
3814700200;3;2450;6500;2;2450;0;329000
1202000200;3;1710;4697;1;1710;0;233000
1794500383;3;2450;2691;2;1750;700;937000
3303700376;3;1400;1581;1;1400;0;667000
5101402488;3;1520;6380;1;790;730;438000
1873100390;4;2570;7173;2;2570;0;719000
8562750320;3;2320;3980;2;2320;0;580500
2426039314;2;1190;1265;3;1190;0;280000
461000390;4;2330;5000;1;1510;820;687500
7589200193;3;1090;3000;1;1090;0;535000
7955080270;4;2060;6659;1;1280;780;322500
9547205180;3;2300;3060;1;1510;790;696000
9435300030;4;1660;34848;1;930;730;550000
2768000400;4;2360;6000;2;2360;0;640000
7895500070;4;1220;8075;1;890;330;240000
2078500320;4;2620;7553;2;2620;0;605000
5547700270;4;2570;5520;2;2570;0;625000
7766200013;4;4220;24186;1;2600;1620;775000
7203220400;5;3595;5639;2;3595;0;861990
9270200160;3;1570;2280;2;1570;0;685000
1432701230;3;1280;9656;1;920;360;309000
8035350320;3;3160;13603;2;3160;0;488000
8945200830;3;990;8528;1;990;0;210490
4178300310;4;2290;13416;2;2290;0;785000
9215400105;3;1250;5963;1;1250;0;450000
822039084;3;2753;65005;1;2165;588;1.35E+06
5245600105;3;1190;9199;1;1190;0;228000
7231300125;5;3150;9134;1;1640;1510;345000
7518505990;3;1410;4080;1;1000;410;600000
3626039271;2;1980;8550;1;990;990;585000
4217401195;5;2730;6000;1;2130;600;920000
9822700295;4;2830;5000;2;2830;0;885000
9478500640;4;2250;4495;2;2250;0;292500
2799800710;3;2420;4750;2;2420;0;301000
7922800400;5;3250;14342;2;3250;0;951000
8079040320;4;1850;9976;2;1850;0;430000
1516000055;3;2150;21235;1;1590;560;650000
9558200045;3;1260;8400;1;1260;0;289000
5072410070;3;2519;8690;2;2519;0;505000
9528102996;3;1540;1044;3;1540;0;549000
1189001180;3;1660;6000;1;1110;550;425000
3253500160;3;2770;3809;1;1770;1000;317625
3394100030;4;2720;11049;2;2720;0;975000
3717000160;4;2240;4648;2;2240;0;287000
1274500060;3;1000;12070;1;1000;0;204000
1802000060;5;3200;20158;1;1600;1600;1.33E+06
1525059190;5;4770;50094;1;3070;1700;1.04E+06
1049000060;3;1260;5612;1;1260;0;325000
8820901275;4;2750;7807;1;2250;500;571000
5416510140;4;2380;5000;2;2380;0;360000
