year,price,mileage
2017,20.5,64.352
2017,18.977,82.026
2019,28.295,39.449
2020,40.99,9.068
2009,8.9,132.135
2021,38.499,9.389
2016,21.193,36.81
2020,32.995,26.291
2016,19.977,50.781
2018,42.999,5.203
2020,28.999,52.567
2019,28.42,45.218
2016,22.99,52.76
2018,23.992,51.843
2017,20.325,81.82
2018,26.646,39.842
2019,40.998,21.532
2019,29.99,29.642
2020,46.22,23.625
2018,27.99,64.479
2020,31.687,50.092
2019,28.999,38.042
2015,10.59,116.154
2020,33.78,23.666
2019,26.995,54.357
2015,8.5,58.745
2019,29.49,37.096
2017,19.497,54.76
2008,5.995,150.136
2015,14.97,91.525
2017,22.621,93
2015,14.369,90.462
2018,22.952,51.627
2018,28.4,35.6
2011,4.999,154.552
2023,51.977,2.827
2018,38.5,21.703
2018,22.299,52.021
2020,31.995,23.405
2015,16.999,90.113
2008,4.99,131.387
2022,43.995,8.223
2019,24.998,67.388
2019,30.39,30.512
2009,7.5,89.1
2015,17.999,87.6
2014,15.5,83
2020,33.8,34.459
2021,36.985,14.302
2018,24.9,33.8
2023,50.244,8.042
2017,18.497,84.672
2011,9.5,86.706
2016,15.3,102.773
2018,25.977,79.494
2019,25.493,61.596
2020,33,25.441
2020,43.499,42.77
2021,45.999,33.742
2022,47.995,6.601
2017,21.477,73.378
2021,33.99,19.481
2019,28.99,28.24
2016,21.398,51.279
2020,30.998,49.39
2018,23.8,40.485
2020,34.8,26.072
2019,34.88,8.95
2020,34.38,22.463
2018,36.999,46.768
2018,24.298,48.506
2015,16.9,80.403
2019,28.5,33
2019,27.995,25.534
2023,49.777,2.356
2020,27.495,65.519
2015,18.699,72.952
2019,27.669,28.045
2022,43.777,6.119
2018,26.595,24.202
2017,30.495,46.784
2021,31.8,12.764
2022,48.5,8.084
2018,26.598,30.355
2015,17.65,69.61
2019,34.99,13.436
2018,24.999,46.158
2017,17.45,94.093
2019,26.99,46.898
2017,21.5,63.041
2023,50.777,2.036
2015,15.5,86.743
2009,5.498,154.666
2015,15.498,73.485
2019,28.885,35.896
2017,23,95.088
2020,35.99,13.863
2020,28.57,55.85
2017,28.99,46.265
2023,50.377,1.923
2020,44.719,27.119
2022,42,11.365
2020,45.599,31.267
2023,51.577,2.587
2015,16.998,51.698
2017,24.997,42.611
2020,29.977,39.982
2021,36.735,16.243
2018,28.999,12.264
2020,33.999,19.547
2021,35.58,11.535
2018,22.988,52.7
2017,24.467,35.401
2016,7.95,82.667
2022,43.99,6.422
