"country","iso3c","gdp_percap"
"Andorra","AND","-99"
"United Arab Emirates","ARE",67921.3994644049
"Afghanistan","AFG",1939.9541249316
"Antigua and Barbuda","ATG",22157.5816228727
"Albania","ALB",11167.0225730627
"Armenia","ARM",8099.2083257793
"Angola","AGO",7317.8340732653
"Argentina","ARG","-99"
"American Samoa","ASM","-99"
"Austria","AUT",47706.4882473346
"Australia","AUS",45937.3000394504
"Aruba","ABW","-99"
"Azerbaijan","AZE",17584.6853479395
"Bosnia and Herzegovina","BIH",10426.9172783872
"Barbados","BRB",16116.487565159
"Bangladesh","BGD",3134.1542517551
"Belgium","BEL",43409.2408923283
"Burkina Faso","BFA",1626.2669133017
"Bulgaria","BGR",17207.5953349321
"Bahrain","BHR",45666.4894524738
"Burundi","BDI",772.69512224
"Benin","BEN",2037.5862051881
"Bermuda","BMU","-99"
"Brunei Darussalam","BRN",71444.8987808606
"Bolivia","BOL",6654.0388464694
"Brazil","BRA",15951.2212185795
"Bahamas, The","BHS",23576.960514993
"Bhutan","BTN",7844.2203270505
"Botswana","BWA",15990.9437659118
"Belarus","BLR",18250.5632168413
"Belize","BLZ",8461.9578852334
"Canada","CAN",45025.0261369835
"Congo, Dem. Rep.","COD",748.0066052515
"Central African Republic","CAF",571.8774579752
"Congo, Rep.","COG",6299.6843529535
"Switzerland","CHE",59535.7997443952
"Cote d'Ivoire","CIV",3270.1373889782
"Chile","CHL",22128.5576684484
"Cameroon","CMR",2983.0830403003
"China","CHN",13254.642984356
"Colombia","COL",13376.6306574434
"Costa Rica","CRI",14972.5843150574
"Cuba","CUB","-99"
"Curacao","CUW","-99"
"Cyprus","CYP",30295.2127792148
"Czech Republic","CZE",31185.8787015268
"Germany","DEU",46393.8765153842
"Djibouti","DJI",3282.3602405341
"Denmark","DNK",45995.8727101234
"Dominica","DMA",10917.074249073
"Dominican Republic","DOM",13310.753009608
"Algeria","DZA",14259.0289420825
"Ecuador","ECU",11413.2129728622
"Estonia","EST",28139.9394406363
"Egypt, Arab Rep.","EGY",10571.335258205
"Eritrea","ERI","-99"
"Spain","ESP",33625.4281084708
"Ethiopia","ETH",1505.2389777443
"Finland","FIN",40693.7512405515
"Fiji","FJI",8824.6089770173
"Micronesia, Fed. Sts.","FSM",3342.6919537809
"France","FRA",39163.1945015004
"Gabon","GAB",19501.1176390943
"United Kingdom","GBR",40217.1637487818
"Grenada","GRD",12470.3895344715
"Georgia","GEO",9204.3186730589
"Ghana","GHA",4096.5844938533
"Gibraltar","GIB","-99"
"Greenland","GRL","-99"
"Gambia, The","GMB",1636.4535709741
"Guinea","GIN",1225.7440576601
"Equatorial Guinea","GNQ",34870.5798687516
"Greece","GRC",26794.7487486664
"Guatemala","GTM",7476.0923844636
"Guam","GUM","-99"
"Guinea-Bissau","GNB",1405.9898932632
"Guyana","GUY",7245.2446929178
"Hong Kong SAR, China","HKG",55346.5558063275
"Honduras","HND",4926.616328813
"Croatia","HRV",21635.1050289927
"Haiti","HTI",1738.9141229634
"Hungary","HUN",25060.5052883092
"Indonesia","IDN",10553.1873508433
"Ireland","IRL",49376.8434317514
"Israel","ISR",33703.4250415256
"Isle of Man","IMN","-99"
"India","IND",5672.189443572
"Iraq","IRQ",14914.6546596009
"Iran, Islamic Rep.","IRN",17365.7789395309
"Iceland","ISL",43993.2928638575
"Italy","ITA",35419.3953084239
"Channel Islands","CHI","-99"
"Jamaica","JAM",8910.1753244489
"Jordan","JOR",10774.8682262501
"Japan","JPN",36577.2106148287
"Kenya","KEN",2965.1554867227
"Kyrgyz Republic","KGZ",3347.1626203131
"Cambodia","KHM",3274.5607323951
"Kiribati","KIR",1815.6417123537
"Comoros","COM",1434.5005240589
"St. Kitts and Nevis","KNA",23326.1433911132
"Korea, Rep.","KOR",33417.3160467909
"Kuwait","KWT",73513.2903883879
"Cayman Islands","CYM","-99"
"Kazakhstan","KAZ",25689.2206615432
"Lao PDR","LAO",5340.3056992002
"Lebanon","LBN",14172.6653257963
"St. Lucia","LCA",10772.2598378526
"Liechtenstein","LIE","-99"
"Sri Lanka","LKA",11195.6942756295
"Liberia","LBR",845.4642054781
"Lesotho","LSO",2647.9541218277
"Lithuania","LTU",27685.9217668332
"Luxembourg","LUX",98459.5200426276
"Latvia","LVA",23547.9793999503
"Libya","LBY",15654.0988696528
"Morocco","MAR",7518.0586673209
"Monaco","MCO","-99"
"Moldova","MDA",5010.4115705611
"Montenegro","MNE",15054.7550055037
"St. Martin (French part)","MAF","-99"
"Madagascar","MDG",1441.9712712824
"Marshall Islands","MHL",3816.5797009811
"Macedonia, FYR","MKD",13517.2900016996
"Mali","MLI",2301.3216643432
"Myanmar","MMR","-99"
"Mongolia","MNG",11996.5885033738
"Macao SAR, China","MAC",140630.079450897
"Northern Mariana Islands","MNP","-99"
"Mauritania","MRT",3885.6933646989
"Malta","MLT","-99"
"Mauritius","MUS",18659.6601024461
"Maldives","MDV",12575.4539619689
"Malawi","MWI",1172.7601831709
"Mexico","MEX",17356.9226448088
"Malaysia","MYS",25732.2652320619
"Mozambique","MOZ",1135.732687918
"Namibia","NAM",9985.2833927062
"New Caledonia","NCL","-99"
"Niger","NER",948.6713168411
"Nigeria","NGA",5932.8313319848
"Nicaragua","NIC",4952.343435851
"Netherlands","NLD",48253.3341426866
"Norway","NOR",65702.1961508927
"Nepal","NPL",2382.8892116434
"New Zealand","NZL",37711.5204080117
"Oman","OMN",38771.8381020344
"Panama","PAN",21102.6753465096
"Peru","PER",12046.987919668
"French Polynesia","PYF","-99"
"Papua New Guinea","PNG",2865.1789882024
"Philippines","PHL",6994.4320081393
"Pakistan","PAK",4828.9424381469
"Poland","POL",25262.2721865603
"Puerto Rico","PRI","-99"
"West Bank and Gaza","PSE",4544.2456590615
"Portugal","PRT",28759.9844575541
"Palau","PLW",13965.90777937
"Paraguay","PRY",8943.914456763
"Qatar","QAT",141442.215519528
"Romania","ROU",20372.0701831615
"Serbia","SRB",13698.5664263163
"Russian Federation","RUS",25094.7271005568
"Rwanda","RWA",1667.3326454199
"Saudi Arabia","SAU",52200.2267956267
"Solomon Islands","SLB",2138.2230188463
"Seychelles","SYC",26518.4603833769
"Sudan","SDN",4084.2136160984
"Sweden","SWE",45297.7655208762
"Singapore","SGP",83689.4243587932
"Slovenia","SVN",30402.6773017919
"Slovak Republic","SVK",28326.5299307052
"Sierra Leone","SLE",2019.003748152
"San Marino","SMR","-99"
"Senegal","SEN",2330.4596407613
"Somalia","SOM","-99"
"Suriname","SUR",16698.3652067874
"South Sudan","SSD",2026.2523068066
"Sao Tome and Principe","STP",3187.8599422335
"El Salvador","SLV",8338.3303441977
"Sint Maarten (Dutch part)","SXM","-99"
"Syrian Arab Republic","SYR","-99"
"Swaziland","SWZ",8322.3851051942
"Turks and Caicos Islands","TCA","-99"
"Chad","TCD",2181.8524552441
"Togo","TGO",1406.764973641
"Thailand","THA",15755.0634649584
"Tajikistan","TJK",2700.5842408342
"Timor-Leste","TLS",2203.6928319807
"Turkmenistan","TKM",15529.8644553626
"Tunisia","TUN",11307.8001700856
"Tonga","TON",5230.1512943838
"Turkey","TUR",19390.3811372673
"Trinidad and Tobago","TTO",32083.799608369
"Tuvalu","TUV",3779.0597301547
"Tanzania","TZA",2547.1679574259
"Ukraine","UKR",8666.9029132502
"Uganda","UGA",1777.3271904374
"United States","USA",54398.4600093994
"Uruguay","URY",20859.2491387487
"Uzbekistan","UZB",5593.4754862896
"St. Vincent and the Grenadines","VCT",10772.8170465276
"Venezuela, RB","VEN","-99"
"Virgin Islands (U.S.)","VIR","-99"
"Vietnam","VNM",5649.5875918442
"Vanuatu","VUT",3041.6311265218
"Samoa","WSM",5811.3222489853
"Yemen, Rep.","YEM","-99"
"South Africa","ZAF",13083.2204904225
"Zambia","ZMB",3810.6610364781
"Zimbabwe","ZWE",1798.0598116161
"Antarctica","ATA",-99
