Customer_ID,Service_Name,Service_Type,Purchase_Date,Number_of_Classes_Purchased,Price_Per_Class,Total_Price,Price_After_Discount,Month
0,Strength Training,1:1 coaching,8/24/2022,15,37.63372178,564.5058267,564.5058267,8
0,Strength Training,personal training,5/16/2023,10,23.99384986,239.9384986,239.9384986,5
0,Stress Relief Meditation,personal training,1/18/2023,5,36.05667195,180.2833598,142.2699838,1
0,HIIT Workouts,1:1 coaching,6/25/2023,5,36.81078284,184.0539142,184.0539142,6
0,Strength Training,1:1 coaching,6/2/2023,15,32.23812711,483.5719066,400.3788138,6
0,Advanced Yoga,personal training,7/18/2023,15,41.9239348,628.8590219,628.8590219,7
0,Mobility Drills,personal training,11/20/2022,5,24.06509994,120.3254997,105.3072841,11
1,Mobility Drills,1:1 coaching,4/9/2023,5,38.8867745,194.4338725,194.4338725,4
1,Advanced Yoga,personal training,5/23/2023,5,24.31505135,121.5752567,121.5752567,5
1,Stress Relief Meditation,personal training,6/12/2023,5,43.73881896,218.6940948,218.6940948,6
1,HIIT Workouts,1:1 coaching,3/18/2023,5,40.56956112,202.8478056,202.8478056,3
1,Core Strengthening,personal training,4/24/2023,5,38.6801762,193.400881,193.400881,4
1,HIIT Workouts,1:1 coaching,10/23/2022,5,37.18898182,185.9449091,185.9449091,10
1,Wellness Coaching,personal training,6/6/2023,15,40.95479326,614.3218988,614.3218988,6
1,Strength Training,1:1 coaching,5/28/2023,15,34.47166698,517.0750047,517.0750047,5
1,Strength Training,1:1 coaching,8/6/2023,5,28.38027939,141.9013969,141.9013969,8
2,Wellness Coaching,1:1 coaching,5/11/2023,10,44.85664161,448.5664161,448.5664161,5
2,HIIT Workouts,personal training,2/26/2023,10,45.99182502,459.9182502,459.9182502,2
2,Strength Training,1:1 coaching,4/3/2023,10,34.10914942,341.0914942,341.0914942,4
2,Cardio Blast,personal training,12/29/2022,5,27.72374563,138.6187281,138.6187281,12
2,Yoga Basics,1:1 coaching,9/11/2022,15,34.7499812,521.249718,521.249718,9
2,Advanced Yoga,1:1 coaching,10/4/2022,10,23.21696439,232.1696439,232.1696439,10
2,Core Strengthening,personal training,5/19/2023,10,40.20382414,402.0382414,402.0382414,5
2,Core Strengthening,1:1 coaching,4/6/2023,5,48.37866815,241.8933408,241.8933408,4
2,Strength Training,1:1 coaching,8/13/2023,10,37.24167215,372.4167215,372.4167215,8
2,Pilates,personal training,12/8/2022,10,47.01846473,470.1846473,470.1846473,12
3,Cardio Blast,1:1 coaching,9/8/2022,10,29.58409996,295.8409996,295.8409996,9
3,Advanced Yoga,1:1 coaching,12/23/2022,5,42.6555829,213.2779145,213.2779145,12
3,Strength Training,personal training,1/10/2023,5,29.44261684,147.2130842,147.2130842,1
3,Strength Training,1:1 coaching,6/30/2023,5,36.47270674,182.3635337,182.3635337,6
3,Wellness Coaching,personal training,5/27/2023,15,38.06767956,571.0151935,571.0151935,5
3,Stress Relief Meditation,personal training,7/18/2023,10,43.06681683,430.6681683,430.6681683,7
3,Advanced Yoga,personal training,8/1/2023,15,35.85916625,537.8874937,537.8874937,8
3,Strength Training,1:1 coaching,12/19/2022,15,39.18309654,587.7464481,587.7464481,12
3,HIIT Workouts,personal training,3/14/2023,5,43.44579348,217.2289674,217.2289674,3
3,Pilates,personal training,2/25/2023,5,31.20813409,156.0406705,156.0406705,2
3,Wellness Coaching,personal training,3/3/2023,15,33.77184188,506.5776282,506.5776282,3
4,Pilates,personal training,4/10/2023,5,30.20197059,151.009853,114.254479,4
4,Core Strengthening,1:1 coaching,11/21/2022,15,34.72192792,520.8289188,406.8233542,11
4,Strength Training,personal training,9/25/2022,5,31.74859726,158.7429863,158.7429863,9
4,Yoga Basics,personal training,5/20/2023,15,23.36679637,350.5019456,350.5019456,5
4,Wellness Coaching,1:1 coaching,3/20/2023,5,39.70723281,198.5361641,198.5361641,3
4,Wellness Coaching,1:1 coaching,5/25/2023,15,46.76510952,701.4766427,701.4766427,5
5,Core Strengthening,personal training,6/9/2023,10,34.38136931,343.8136931,343.8136931,6
5,Cardio Blast,1:1 coaching,4/18/2023,10,40.97644864,409.7644864,409.7644864,4
5,HIIT Workouts,personal training,2/17/2023,10,36.11478977,361.1478977,361.1478977,2
5,Stress Relief Meditation,personal training,8/10/2023,5,25.13720309,125.6860155,119.3163872,8
5,Strength Training,personal training,6/1/2023,5,21.58885819,107.9442909,87.81424101,6
5,Mobility Drills,personal training,9/27/2022,5,25.49582362,127.4791181,127.4791181,9
5,Pilates,1:1 coaching,11/12/2022,5,31.52464087,157.6232044,145.7046611,11
5,Advanced Yoga,1:1 coaching,4/14/2023,5,40.42680521,202.134026,202.134026,4
5,Strength Training,personal training,2/19/2023,10,36.31516663,363.1516663,363.1516663,2
5,Stress Relief Meditation,1:1 coaching,2/16/2023,10,35.75554616,357.5554616,357.5554616,2
6,Yoga Basics,1:1 coaching,5/13/2023,15,35.11478384,526.7217576,471.4550842,5
6,Stress Relief Meditation,personal training,3/20/2023,5,25.68106962,128.4053481,128.4053481,3
6,Mobility Drills,personal training,1/15/2023,15,25.01917151,375.2875726,375.2875726,1
6,HIIT Workouts,1:1 coaching,8/12/2023,15,45.27808786,679.1713179,679.1713179,8
6,Strength Training,1:1 coaching,6/18/2023,15,39.67817232,595.1725848,564.5898222,6
6,Pilates,personal training,10/24/2022,15,45.9564609,689.3469135,689.3469135,10
7,Yoga Basics,1:1 coaching,5/29/2023,5,28.53513196,142.6756598,142.6756598,5
7,HIIT Workouts,1:1 coaching,11/18/2022,5,35.84413074,179.2206537,179.2206537,11
7,Stress Relief Meditation,1:1 coaching,6/29/2023,10,44.43100925,444.3100925,444.3100925,6
7,Yoga Basics,1:1 coaching,3/31/2023,15,37.56456004,563.4684007,563.4684007,3
7,Advanced Yoga,personal training,2/26/2023,15,37.48220334,562.2330502,562.2330502,2
7,HIIT Workouts,personal training,2/8/2023,5,44.27256252,221.3628126,221.3628126,2
7,Cardio Blast,personal training,7/28/2023,5,44.39536128,221.9768064,221.9768064,7
7,Stress Relief Meditation,personal training,10/18/2022,10,26.7808936,267.808936,267.808936,10
7,Stress Relief Meditation,1:1 coaching,7/6/2023,10,36.54127284,365.4127284,365.4127284,7
7,Advanced Yoga,1:1 coaching,8/15/2023,5,34.34689198,171.7344599,171.7344599,8
7,Mobility Drills,personal training,5/5/2023,5,39.91954156,199.5977078,176.4610414,5
7,Pilates,1:1 coaching,2/24/2023,5,43.75072322,218.7536161,218.7536161,2
7,Stress Relief Meditation,personal training,6/22/2023,10,26.43260206,264.3260206,264.3260206,6
9,Pilates,1:1 coaching,4/5/2023,5,37.65335397,188.2667698,188.2667698,4
9,Yoga Basics,personal training,1/6/2023,10,36.40985993,364.0985993,364.0985993,1
9,Yoga Basics,personal training,6/8/2023,15,25.20218493,378.032774,378.032774,6
9,Strength Training,1:1 coaching,1/12/2023,10,31.97043707,319.7043707,319.7043707,1
9,Cardio Blast,1:1 coaching,1/15/2023,5,43.80715345,219.0357673,219.0357673,1
9,Yoga Basics,1:1 coaching,1/18/2023,10,27.49668099,274.9668099,274.9668099,1
9,Mobility Drills,1:1 coaching,3/5/2023,10,43.51329483,435.1329483,435.1329483,3
9,Wellness Coaching,personal training,4/5/2023,15,32.88572132,493.2858198,493.2858198,4
10,Cardio Blast,personal training,11/19/2022,15,32.38237375,485.7356063,485.7356063,11
11,Stress Relief Meditation,personal training,11/15/2022,10,30.42888784,304.2888784,304.2888784,11
11,Wellness Coaching,personal training,6/2/2023,5,38.68537362,193.4268681,193.4268681,6
11,Yoga Basics,personal training,9/13/2022,10,30.45867184,304.5867184,264.1054672,9
11,Strength Training,1:1 coaching,9/13/2022,15,40.18944206,602.8416309,602.8416309,9
11,Pilates,1:1 coaching,11/2/2022,10,37.77480189,377.7480189,377.7480189,11
11,Core Strengthening,personal training,10/24/2022,5,32.54911263,162.7455632,162.7455632,10
12,HIIT Workouts,1:1 coaching,5/16/2023,10,27.76631364,277.6631364,277.6631364,5
12,Mobility Drills,personal training,3/15/2023,10,41.27077043,412.7077043,412.7077043,3
