eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
199301010001,1993,1,1,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,,,,0,Ulster (Province),"01/01/1993: Armed gunmen of the Red Hand Commandos shot and injured two men in Belfast, Northern Ireland. There was no damage reported, and the Commandos claimed responsibility for this attack.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,,,Private Citizens,Private Citizens in Belfast,233,Northern Ireland,,,,,,,,,,,,,,,,,Red Hand Commandos,,,,,,In retaliation for an Irish Republican Army murder on 12/30/1993,0,,,0,,0,1,10,Unknown,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,0,0,0,2,0,0,0,,,,,0,,,,,,,,,,,,,,,,The Red Hand Commandos are a Northern Irish Loyalist paramilitary group closely linked to the Ulster Volunteer Force (UVF).,"John Mullin, “Two Men Injured in Shootings by Loyalists,” The Guardian (London), January 2, 1993.","“Two Wounded in Belfast Murder Bid,” The Herald, January 2, 1993.","Tim Kelsey, “Loyalists claim more victims than IRA,” The Independent (London), January 2, 1993.",CETIS,0,0,1,1,
199301010002,1993,1,1,,0,,60,Egypt,10,Middle East & North Africa,Qena (Governorate),Luxor,,,,1,The attack occurred en route from Luxor to Cairo.,"01/01/1993: Suspected Muslim extremists attacked two buses on the road from Luxor to Cairo, Egypt. Some shots hit the buses, but no one was injured in the attack. The gunmen fled when police gave chase.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,19,Transportation,,,Tourists,Tourist buses driving from Luxor to Cairo,999,Multinational,,,,,,,,,,,,,,,,,Other,,,,,,Unknown,1,,,0,,0,0,,,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,,"Edward F. Mickolus, Terrorism, 1992-1995: A Chronology of Events and a Selectively Annotated Bibliography, Westport, CT: Greenwood Press, 1997.",,,CETIS,-9,-9,1,1,
199301030001,1993,1,3,,0,,186,Sri Lanka,6,South Asia,North (Province),Vavuniya,,,,0,,"01/03/1993: The Liberation Tigers of Tamil Eelam (LTTE) attacked Sri Lankan military troops in Vavuniya, Sri Lanka. Two soldiers were killed in the attack and the extent of damage was unknown.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,4,Military,,,Sri Lankan Military,Sri Lankan Military troops,186,Sri Lanka,,,,,,,,,,,,,,,,,Liberation Tigers of Tamil Eelam (LTTE),,,,,,Unknown,0,,,0,,0,0,,,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,2,0,0,0,0,0,-9,4,Unknown,,,0,,,,,,,,,,,,,,,,The soldiers represented the first victims of LTTE in 1993.,"“Tigers kill two soldiers – first victims in New Year,” Agence France Presse, January 3, 1993.",,,CETIS,0,0,0,0,
199301030002,1993,1,3,,0,,97,Israel,10,Middle East & North Africa,Jerusalem (District),West Jerusalem,,,,0,,"01/03/1993: Two male members of HAMAS stabbed and killed Mr. Haim Nahmani, an Israeli intelligence agent, in West Jerusalem, Israel.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,2,Government (General),,,Agent for the Israeli Shin Beth Intelligence Service,Haim Nahmani,97,Israel,,,,,,,,,,,,,,,,,Hamas (Islamic Resistance Movement),,,,,,Unknown,0,,,0,2,0,0,,,,,,,,,-9,9,Melee,23,Knife or Other Sharp Object,9,Melee,21,Blunt Object,,,,,,,,,Haim Nahmani was stabbed and beaten with a hammer.,1,0,0,0,0,0,0,,,,,0,,,,,,,,,,,,,,,,"Haim Nahmani had arranged to meet a HAMAS informant, but was attacked and killed prior to the meeting.","“HAMAS militant kills Israeli intelligence agent: minister,” Agence France Presse, January 3, 1993.","“Agent Killed in Palestinian Attack,” The Associated Press, January 3, 1993.","Jonathan Ferziger, “Police Search for Killer of Shin-Bet Agent,” United Press International, January 4, 1993.",CETIS,1,0,0,1,
199301030003,1993,1,3,,0,,97,Israel,10,Middle East & North Africa,Tel Aviv (District),Tel Aviv,,,,1,Outside of Tel Aviv,"01/03/1993: A pipe bomb exploded on a passenger bus that was traveling outside of Tel Aviv, Israel. The bus, which sustained minor damage from the attack, was taking at least 40 passengers to Jerusalem from the northern port of Haifa. There were no casualties reported.",1,1,1,0,,,0,1,0,3,Bombing/Explosion,,,,,19,Transportation,,,Israeli Passenger Bus,Bus Passengers,97,Israel,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,-9,6,Explosives,17,Other Explosive Type,,,,,,,,,,,,,A pipe bomb was used in the attack.,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,,"“Agent Killed in Palestinian Attack,” The Associated Press, January 3, 1993.",,,CETIS,-9,-9,0,-9,
199301030004,1993,1,3,,0,,603,United Kingdom,8,Western Europe,Northern Ireland,Lisnagleer,,,,0,Tyrone (County),"01/03/1993: The Ulster Volunteer Force (UVF) entered a house and killed a father, his son and injured one other son in Lisnagleer, Northern Ireland. The UVF claimed responsibility for attack, stating that the father was a well-known Republican and a member of Sinn Fein, the Irish Republican Army's political wing.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,,,Private Citizens,Diarmuid Shields,233,Northern Ireland,14,Private Citizens & Property,,,Civilian,Pat Shields,233,Northern Ireland,14,Private Citizens & Property,,,Private Citizens,Davog Shields,233,Northern Ireland,Ulster Volunteer Force (UVF),,,,,,Due to the father's political affiliation,0,,,0,,0,1,10,Unknown,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,2,0,0,1,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,,"“Gunmen kill father and son in attack on family home,” The Herald (Glasgow), January 4, 1993.","David McKittrick, “Loyalist Terrorist Groups Intent on a Bloody Year,” The Independent (London), January 5, 1993.","David Sharrock, “Surge in Loyalist Killings Feared,” The Guardian (London), January 5, 1993.",CETIS,0,0,1,1,
199301040001,1993,1,4,,0,,60,Egypt,10,Middle East & North Africa,Asyut (Governorate),Dayrut,,,,0,,"01/04/1993: Members of Jemaah Islamiyah used firearms to attack two Coptic Christians in Dayrut, Egypt. One was killed and the other was seriously injured. The group claimed responsibility for this attack.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,,,Private Citizens,Coptic Christians,60,Egypt,,,,,,,,,,,,,,,,,Al-Gama'at al-Islamiyya (IG),,,,,,Unknown,0,,,0,,0,1,10,Unknown,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,1,0,0,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,The Jemaah Islamiyah group accused the two victims of being government spies.,"“Coptic Christian Killed by Moslem Extremist Suspects,” Xinhua General News Service, January 4, 1993.","Deborah Pugh, “Egyptian Group Claims New Attacks,” The Guardian (London), January 8, 1993.",,CETIS,0,1,0,1,
199301050001,1993,1,5,,0,,110,Lebanon,10,Middle East & North Africa,South (Governorate),UNIFIL Security Zone,,,,0,,"01/05/1993: A South Lebanon Army soldier was injured by an unidentified gunman in Liban-Sud Governorate, the central section of the security zone in Lebanon. Hizballah claimed responsibility for this attack.",1,1,1,0,,,0,0,0,2,Armed Assault,,,,,4,Military,,,South Lebanon Army (SLA),South Lebanon Army (SLA) Soldier,110,Lebanon,,,,,,,,,,,,,,,,,Hezbollah,,,,,,Unknown,0,,,0,,0,0,,,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,0,0,0,1,0,0,0,,,,,0,,,,,,,,,,,,,,,,,"David Rudge, “SLA soldier lightly wounded in first Hizbullah attack since deportations,” The Jerusalem Post, January 6, 1993.",,,CETIS,0,1,0,1,
199301050002,1993,1,5,,0,,60,Egypt,10,Middle East & North Africa,Asyut (Governorate),Dayrut,,,,1,10 kilometers (six miles) south of Dayrut,"01/05/1993: Members of Jemaah Islamiyah fired automatic weapons at a bus carrying Japanese tourists six miles outside of Dayrut, Egypt. The bus sustained minor damage, however there were no injuries.",1,1,1,0,,,0,1,0,2,Armed Assault,,,,,18,Tourists,,,Tourists,Japanese Tourists,60,Egypt,,,,,,,,,,,,,,,,,Al-Gama'at al-Islamiyya (IG),,,,,,Unknown,0,,,0,,0,1,10,Unknown,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,This was the first attack on foreign tourists since gunmen wounded four Germans in November 1992.,"Youssef M. Ibrahim, “Bus with Japanese Fired on as Egypt’s Violence Mounts,” The New York Times, January 6, 1993.","“Attackers Fire on Busload of Japanese Tourists,” Agence France Presse, January 5, 1993.","“Suspected Fundamentalists Fire on Tourist Buses,” Agence France Presse, January 5, 1993.",CETIS,0,1,0,1,
199301050003,1993,1,5,,0,,60,Egypt,10,Middle East & North Africa,Asyut (Governorate),Dayrut,,,,0,,01/05/1993: Unknown perpetrators fired on a convoy of two tourist buses heading to Cairo. There were no injuries in the attacks.,1,1,1,0,,,0,1,0,2,Armed Assault,,,,,19,Transportation,,,Tourist Bus Company,Two tourist buses heading from Luxor to Cairo,60,Egypt,,,,,,,,,,,,,,,,,Unknown,,,,,,Unknown,0,,,0,,,0,,,,,,,,,-9,5,Firearms,5,Unknown Gun Type,,,,,,,,,,,,,,0,0,0,0,0,0,1,3,Minor (likely < $1 million),,,0,,,,,,,,,,,,,,,,,"Center for Terrorism and Intelligence Studies, Critical Infrastructure Terrorist Attack Database, San Jose, CA: Akribis Group, July 7 2006.",,,CETIS,-9,-9,0,-9,
