"FACID","NAME","TYPE","LTC","CAPACITY","ADDRESS","CITY","ZIP","FACADMIN","CONTACT_EMAIL","CONTACT_FAX","CONTACT_PHONE_NUMBER","COUNTY_NAME","COUNTY_CODE","DISTRICT_NUMBER","DISTRICT_NAME","LICENSE_NUMBER","INITIAL_LICENSE_DATE","LICENSE_EFFECTIVE_DATE","OSHPD_NUMBER","LATITUDE","LONGITUDE","LOCATION"
10000024,"GRANADA REHAB & WENNESS CENTER, LP","SKILLED NURSING FACILITY","LTC",87,"2885 HARRIS ST","EUREKA",95503,"BRASIER, ALICE","administrator@granadarehabwc.com","(707) 441-8446","(707) 443-1627",110,"HUMBOLDT",11,"SANTA ROSA/REDWOOD COAST",10000015,"01Apr1979","01Nov2014","206120955",40.7811088562,-124.1355056763,""
10000461,"SONOMA VALLEY HOME CARE","HOME HEALTH AGENCY		","Non-LTC",0,"347 ANDRIEUX ST.","SONOMA",95476,"Baden, Robert","","","(707)935-5135",590,"SONOMA",11,"SANTA ROSA/REDWOOD COAST",,"","","",38.2881011963,-122.4653244019,""
10001147,"HEARTLAND HOME HEALTH CARE AND HOSPICE","HOME HEALTH AGENCY		","Non-LTC",0,"825 SONOMA AVENUE, SUITE B","SANTA ROSA",95403,"Gulbronsen, Jeanette","","","(707) 523-0111",590,"SONOMA",11,"SANTA ROSA/REDWOOD COAST",,"","","",38.4396362305,-122.7076721191,""
20000037,"GATEWAY CARE & REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",99,"26660 PATRICK AVENUE","HAYWARD",94544,"Montijo, Nathalie","","(510) 782-9913","(510) 782-1845",0,"ALAMEDA",2,"EAST BAY",20000205,"","01Nov2014","206013647",37.6404266357,-122.0802154541,""
20000094,"PARK CENTRAL CARE AND REHABILITATION CENTER","SKILLED NURSING FACILITY","LTC",99,"2100 PARKSIDE DRIVE","FREMONT",94536,"Alcober, Edna M","bsing@thekkek.com","(510) 797-3767","(510) 797-5300",0,"ALAMEDA",2,"EAST BAY",20000082,"","02Nov2014","206010912",37.5585892797,-121.9804052264,""
20000109,"SUNSHINE ICF/DDH #2","INTERMEDIATE CARE FACILITY-DD/H/N","LTC",6,"21238 ROYAL AVENUE","HAYWARD",94541,"Vunderman, Zamfira","zvunderman@gmail.com","","(510) 785-9416",0,"ALAMEDA",2,"EAST BAY",20000248,"","01Apr2015","",37.666683197,-122.1132659912,""
20000112,"KYAKAMEENA CARE CENTER","SKILLED NURSING FACILITY","LTC",60,"2131 CARLETON STREET","BERKELEY",94704,"Nacion, Christine","","(510) 843-0133","(510) 843-2131",0,"ALAMEDA",2,"EAST BAY",20000055,"01Mar2001","02Mar2015","206010863",37.8617401123,-122.2652282715,""
20000348,"SUNSHINE ICF//DDH #3","INTERMEDIATE CARE FACILITY-DD/H/N","LTC",6,"1528 SEAVER COURT","HAYWARD",94545,"Vunderman, Zamfira","","(925) 736-7914","(510) 784-0454",0,"ALAMEDA",2,"EAST BAY",20000263,"21May1986","21Nov2014","",37.642017,-122.102912,""
20000629,"SUNSHINE ICF/DDH #4","INTERMEDIATE CARE FACILITY-DD/H/N","LTC",6,"26005 PETERMAN AVENUE","HAYWARD",94545,"Vunderman, Zamfira","","(925) 736-7914","(510) 887-2924",0,"ALAMEDA",2,"EAST BAY",20000312,"","28Nov2014","",37.6422674954,-122.0941905677,""
20000630,"SERRA RESIDENTIAL CENTER - CRESTWOOD HOUSE","INTERMEDIATE CARE FACILITY-DD/H/N","LTC",6,"4041 CRESTWOOD STREET","FREMONT",94538,"Henry, Cayia","bpeck@serracenter.org","(510) 477-1006","(510) 477-1000",0,"ALAMEDA",2,"EAST BAY",20000319,"30Aug1988","01Nov2014","",37.5169181824,-121.9545593262,""
