"playerID","nameFirst","nameLast","nameFull","teamID","teamName","salary","salary_mil"
"arroybr01","Bronson","Arroyo","Bronson Arroyo","ARI","Arizona Diamondbacks",9500000,9.5
"cahiltr01","Trevor","Cahill","Trevor Cahill","ARI","Arizona Diamondbacks",7700000,7.7
"campato01","Tony","Campana","Tony Campana","ARI","Arizona Diamondbacks",509500,0.5095
"chaveer01","Eric","Chavez","Eric Chavez","ARI","Arizona Diamondbacks",3500000,3.5
"collmjo01","Josh","Collmenter","Josh Collmenter","ARI","Arizona Diamondbacks",925000,0.925
"delgara01","Randall","Delgado","Randall Delgado","ARI","Arizona Diamondbacks",510000,0.51
"goldspa01","Paul","Goldschmidt","Paul Goldschmidt","ARI","Arizona Diamondbacks",1100000,1.1
"gosewtu01","Tuffy","Gosewisch","Tuffy Gosewisch","ARI","Arizona Diamondbacks",502000,0.502
"gregodi01","Didi","Gregorius","Didi Gregorius","ARI","Arizona Diamondbacks",506500,0.5065
"hillaa01","Aaron","Hill","Aaron Hill","ARI","Arizona Diamondbacks",11000000,11
"mileywa01","Wade","Miley","Wade Miley","ARI","Arizona Diamondbacks",523500,0.5235
"montemi01","Miguel","Montero","Miguel Montero","ARI","Arizona Diamondbacks",10000000,10
"nunovi01","Vidal","Nuno","Vidal Nuno","ARI","Arizona Diamondbacks",504500,0.5045
"owingch01","Chris","Owings","Chris Owings","ARI","Arizona Diamondbacks",500000,0.5
"parrage01","Gerardo","Parra","Gerardo Parra","ARI","Arizona Diamondbacks",4850000,4.85
"pennicl01","Cliff","Pennington","Cliff Pennington","ARI","Arizona Diamondbacks",3250000,3.25
"perezol01","Oliver","Perez","Oliver Perez","ARI","Arizona Diamondbacks",1750000,1.75
"polloaj01","A. J.","Pollock","A. J. Pollock","ARI","Arizona Diamondbacks",507000,0.507
"pradoma01","Martin","Prado","Martin Prado","ARI","Arizona Diamondbacks",11000000,11
"putzjj01","J. J.","Putz","J. J. Putz","ARI","Arizona Diamondbacks",7000000,7
"reedad01","Addison","Reed","Addison Reed","ARI","Arizona Diamondbacks",538500,0.5385
"rossco01","Cody","Ross","Cody Ross","ARI","Arizona Diamondbacks",9500000,9.5
"thatcjo01","Joe","Thatcher","Joe Thatcher","ARI","Arizona Diamondbacks",2375000,2.375
"trumbma01","Mark","Trumbo","Mark Trumbo","ARI","Arizona Diamondbacks",4800000,4.8
"zieglbr01","Brad","Ziegler","Brad Ziegler","ARI","Arizona Diamondbacks",4500000,4.5
