full_name,2022/23,2022/23(*)
Stephen Curry,48070014,49497298
John Wall,47345760,48751539
Russell Westbrook,47080179,48478072
LeBron James,44474988,45795529
Kevin Durant,44119845,45429841
Bradley Beal,43279250,44564287
Damian Lillard,42492492,43754169
Giannis Antetokounmpo,42492492,43754169
Paul George,42492492,43754169
Kawhi Leonard,42492492,43754169
Klay Thompson,40600080,41805568
Kyrie Irving,38917057,40072573
Rudy Gobert,38172414,39305820
Khris Middleton,37984276,39112096
Anthony Davis,37980720,39108435
