Season,SeasGm,CarrGm,Date,Age,Tm,Home,Opp,Win,teamdiff,GS,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Pls/Mns
1,1,1,33914,20.6708,ORL,1,MIA,1,10,1,32.00,4,8,0.5,0,0,,4,7,0.571,5,13,18,2,1,3,8,6,12,8.3,
1,2,2,33915,20.6735,ORL,0,WSB,1,5,1,40.00,8,16,0.5,0,0,,6,11,0.545,5,10,15,1,0,4,4,5,22,16,
1,3,3,33918,20.6817,ORL,1,CHH,0,-4,1,34.00,15,25,0.6,0,0,,5,8,0.625,4,9,13,1,1,3,4,4,35,26,
1,4,4,33920,20.6872,ORL,1,WSB,1,27,1,36.00,12,19,0.632,0,0,,7,12,0.583,9,12,21,1,0,4,6,4,31,26.3,
1,5,5,33922,20.6927,ORL,0,NJN,0,-11,1,35.00,9,16,0.563,0,0,,11,16,0.688,5,10,15,1,1,3,2,4,29,26.1,
1,6,6,33926,20.7036,ORL,0,PHI,1,10,1,34.00,12,19,0.632,0,0,,5,11,0.455,7,12,19,1,1,3,3,5,29,25.4,
1,7,7,33927,20.7064,ORL,1,GSW,1,24,1,41.00,8,15,0.533,0,0,,13,18,0.722,5,11,16,3,2,3,4,3,29,27.5,
1,8,8,33929,20.7118,ORL,0,NYK,0,-15,1,44.00,7,18,0.389,0,0,,4,11,0.364,3,14,17,2,1,3,7,4,18,7.6,
1,9,9,33933,20.7228,ORL,1,HOU,1,13,1,42.00,6,12,0.5,0,0,,0,0,,1,12,13,2,1,3,2,3,12,11.6,
1,10,10,33935,20.7283,ORL,0,IND,1,14,1,30.00,7,10,0.7,0,0,,7,13,0.538,3,8,11,1,1,4,4,4,21,17.8,
1,11,11,33936,20.7310,ORL,1,CLE,1,2,1,40.00,10,19,0.526,0,0,,2,6,0.333,7,7,14,1,0,3,7,3,22,12.7,
1,12,12,33939,20.7392,ORL,0,SEA,0,-14,1,36.00,4,11,0.364,0,0,,1,7,0.143,4,7,11,1,0,4,4,4,9,3.3,
1,13,13,33941,20.7447,ORL,0,LAC,0,-18,1,34.00,10,22,0.455,0,0,,6,9,0.667,4,5,9,2,5,4,3,5,26,21.9,
1,14,14,33943,20.7502,ORL,0,GSW,0,-15,1,37.00,5,18,0.278,0,0,,7,12,0.583,7,10,17,0,0,6,1,5,17,13.5,
1,15,15,33946,20.7584,ORL,1,BOS,0,-15,1,44.00,10,19,0.526,0,0,,6,11,0.545,4,11,15,4,1,4,3,2,26,23.6,
1,16,16,33947,20.7611,ORL,0,DET,0,-5,1,41.00,7,16,0.438,0,0,,3,10,0.3,4,7,11,0,0,5,3,6,17,8.8,
1,17,17,33949,20.7666,ORL,1,PHO,0,-1,1,38.00,10,18,0.556,0,0,,6,10,0.6,6,11,17,0,2,4,5,3,26,21.9,
1,18,18,33953,20.7775,ORL,1,PHI,1,12,1,29.00,6,9,0.667,0,0,,8,11,0.727,3,11,14,1,0,6,5,4,20,18.6,
1,19,19,33955,20.7830,ORL,1,SAC,1,21,1,37.00,9,14,0.643,0,0,,4,7,0.571,6,14,20,2,0,7,5,4,22,22.7,
1,20,20,33957,20.7885,ORL,0,ATL,1,41,1,34.00,7,11,0.636,0,0,,1,1,1,1,4,5,5,1,5,3,3,15,15.8,
1,21,21,33960,20.7967,ORL,1,UTA,1,3,1,42.00,12,18,0.667,0,0,,4,10,0.4,5,14,19,3,0,5,5,4,28,24.5,
1,22,22,33964,20.8077,ORL,0,MIA,0,-6,1,36.00,6,15,0.4,0,1,0,6,9,0.667,3,8,11,2,0,3,3,5,18,11.7,
1,23,23,33966,20.8131,ORL,1,MIL,1,16,1,38.00,9,15,0.6,0,0,,3,4,0.75,6,8,14,2,1,5,3,3,21,22,
1,24,24,33968,20.8186,ORL,1,LAL,0,-3,1,44.00,7,11,0.636,0,0,,9,11,0.818,7,16,23,2,0,0,7,3,23,20.2,
1,25,25,33971,20.8268,ORL,1,DET,0,-1,1,44.00,11,22,0.5,0,0,,7,12,0.583,5,10,15,1,1,3,7,3,29,18.1,
1,26,26,33974,20.8350,ORL,1,NJN,0,-3,1,38.00,12,19,0.632,0,0,,5,11,0.455,6,6,12,0,0,5,1,6,29,24.2,
1,27,27,33977,20.8433,ORL,1,NYK,1,1,1,34.00,10,17,0.588,0,0,,2,4,0.5,1,12,13,3,0,5,1,5,22,20.2,
1,28,28,33978,20.8460,ORL,1,IND,0,-16,1,44.00,11,20,0.55,0,0,,8,13,0.615,5,15,20,0,0,8,2,3,30,28.8,
